Rolling Window,Stop Loss Points,Take Profit Points,Exposure Time (%),Final Account Balance ($),Equity Peak ($),Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Max Drawdown Duration (days),Average Drawdown Duration (days),Sharpe Ratio Float
25,3,20,2.16,"14,128.92","14,575.72",182.58,29.93,43.28,1.37,1017,223,794,21.93,1.71,0.45,21.21,6.77,-4.42,-4.42,0.96,0.32,0.45
10,3,21,2.59,"15,115.92","15,318.88",202.32,32.14,43.91,1.48,1217,249,968,20.46,1.64,0.45,20.14,6.40,-5.02,-5.02,0.96,0.28,0.45
10,3,20,2.61,"14,957.28","15,133.28",199.15,31.79,43.91,1.46,1228,260,968,21.17,1.63,0.45,19.40,7.58,-4.19,-4.19,0.96,0.28,0.45
15,3,22,2.26,"14,611.88","15,014.92",192.24,31.04,43.82,1.44,1063,215,848,20.23,1.70,0.45,22.00,7.51,-4.13,-4.13,0.96,0.30,0.45
25,4,17,2.18,"13,972.76","14,598.32",179.46,29.57,43.28,1.35,1026,293,733,28.56,1.58,0.45,14.47,5.44,-5.43,-5.43,0.96,0.32,0.45
30,4,17,2.15,"13,830.08","14,413.16",176.60,29.23,43.59,1.34,1008,288,720,28.57,1.58,0.45,14.49,5.61,-5.21,-5.21,0.96,0.32,0.45
30,3,23,2.04,"14,272.08","14,596.40",185.44,30.26,43.59,1.43,958,191,767,19.94,1.74,0.45,23.68,8.00,-3.78,-3.78,0.96,0.32,0.45
10,3,23,2.54,"15,135.68","15,508.64",202.71,32.18,43.91,1.53,1193,227,966,19.03,1.65,0.45,21.16,5.46,-5.90,-5.90,0.96,0.28,0.45
10,3,24,2.51,"15,369.32","15,842.28",207.39,32.69,43.91,1.55,1182,219,963,18.53,1.66,0.45,22.07,5.92,-5.52,-5.52,0.96,0.28,0.45
20,4,17,2.24,"13,986.80","14,612.36",179.74,29.60,43.21,1.36,1055,299,756,28.34,1.56,0.45,14.13,5.45,-5.43,-5.43,0.96,0.31,0.45
10,4,17,2.63,"14,489.84","14,929.04",189.80,30.74,43.91,1.44,1234,340,894,27.55,1.50,0.45,12.86,5.32,-5.77,-5.77,0.96,0.28,0.45
15,3,21,2.30,"14,717.04","15,030.08",194.34,31.28,43.82,1.43,1079,227,852,21.04,1.70,0.45,21.60,9.03,-3.46,-3.46,0.96,0.31,0.45
25,3,23,2.07,"14,126.00","14,482.80",182.52,29.93,43.28,1.45,975,192,783,19.69,1.72,0.44,23.01,7.42,-4.03,-4.03,0.96,0.32,0.44
15,4,15,2.41,"13,615.08","14,163.08",172.30,28.73,43.82,1.34,1133,344,789,30.36,1.51,0.44,12.36,5.85,-4.91,-4.91,0.96,0.30,0.44
15,5,17,2.25,"14,611.84","14,973.28",192.24,31.04,43.82,1.46,1059,340,719,32.11,1.51,0.44,11.76,7.14,-4.35,-4.35,0.96,0.31,0.44
10,3,25,2.49,"15,506.72","15,949.68",210.13,32.99,43.91,1.61,1172,211,961,18.00,1.67,0.44,22.81,6.00,-5.50,-5.50,0.96,0.28,0.44
10,3,28,2.42,"16,156.36","16,516.72",223.13,34.37,43.91,1.69,1136,191,945,16.81,1.73,0.44,25.67,6.99,-4.92,-4.92,0.96,0.28,0.44
15,8,17,2.04,"15,575.84","15,717.76",211.52,33.17,43.82,1.66,959,401,558,41.81,1.46,0.44,8.61,5.77,-5.75,-5.75,0.96,0.33,0.44
10,3,22,2.57,"14,648.32","15,056.28",192.97,31.10,43.91,1.51,1207,234,973,19.39,1.61,0.44,19.77,5.12,-6.07,-6.07,0.96,0.28,0.44
15,4,14,2.45,"13,270.28","13,873.28",165.41,27.90,43.82,1.31,1153,364,789,31.57,1.49,0.44,11.53,5.23,-5.34,-5.34,0.96,0.30,0.44
30,3,21,2.09,"13,859.84","14,244.16",177.20,29.30,43.59,1.40,984,207,777,21.04,1.70,0.44,21.59,7.05,-4.15,-4.15,0.96,0.32,0.44
20,3,23,2.13,"14,451.28","14,808.08",189.03,30.67,43.21,1.45,1003,198,805,19.74,1.72,0.44,23.14,7.77,-3.95,-3.95,0.96,0.32,0.44
20,3,22,2.16,"14,108.92","14,495.72",182.18,29.89,43.21,1.44,1017,205,812,20.16,1.69,0.44,21.82,7.17,-4.17,-4.17,0.96,0.32,0.44
15,3,23,2.23,"14,728.00","15,101.04",194.56,31.30,43.82,1.48,1050,206,844,19.62,1.71,0.44,22.81,7.87,-3.98,-3.98,0.96,0.31,0.44
20,3,21,2.19,"14,072.80","14,489.60",181.46,29.80,43.21,1.42,1030,215,815,20.87,1.69,0.44,21.19,6.92,-4.31,-4.31,0.96,0.31,0.44
30,3,22,2.07,"13,855.96","14,210.28",177.12,29.30,43.59,1.41,971,197,774,20.29,1.70,0.43,22.17,7.28,-4.02,-4.02,0.96,0.32,0.43
15,4,13,2.50,"12,895.48","13,383.48",157.91,26.98,43.82,1.29,1173,386,787,32.91,1.47,0.43,10.71,5.87,-4.60,-4.60,0.96,0.30,0.43
25,3,21,2.13,"13,703.76","14,120.56",174.08,28.94,43.28,1.42,1001,208,793,20.78,1.68,0.43,20.95,6.54,-4.42,-4.42,0.96,0.32,0.43
30,3,10,2.50,"11,349.24","11,349.24",126.98,22.95,43.59,1.07,1174,391,783,33.30,1.50,0.43,11.22,5.62,-4.08,-4.08,0.96,0.30,0.43
10,3,27,2.44,"15,606.48","16,001.84",212.13,33.21,43.91,1.68,1148,195,953,16.99,1.69,0.43,24.05,6.36,-5.22,-5.22,0.96,0.28,0.43
15,3,10,2.72,"11,724.04","11,724.04",134.48,23.96,43.82,1.10,1279,423,856,33.07,1.48,0.43,10.92,5.86,-4.09,-4.09,0.96,0.28,0.43
10,3,29,2.39,"16,026.24","16,351.60",220.52,34.10,43.91,1.71,1124,183,941,16.28,1.72,0.43,25.97,7.30,-4.67,-4.67,0.96,0.28,0.43
10,3,30,2.36,"15,848.60","16,138.96",216.97,33.72,43.91,1.74,1110,175,935,15.77,1.71,0.43,26.22,7.29,-4.63,-4.63,0.96,0.28,0.43
15,4,19,2.25,"14,131.84","14,723.52",182.64,29.94,43.82,1.47,1059,275,784,25.97,1.55,0.43,14.70,5.66,-5.29,-5.29,0.96,0.31,0.43
15,4,12,2.54,"12,636.96","12,891.20",152.74,26.33,43.82,1.26,1196,413,783,34.53,1.46,0.43,10.04,5.93,-4.44,-4.44,0.96,0.29,0.43
10,3,10,3.03,"11,839.24","11,839.24",136.78,24.25,43.91,1.12,1424,461,963,32.37,1.44,0.43,10.03,6.41,-3.78,-3.78,0.96,0.26,0.43
30,3,24,2.03,"13,823.28","14,252.60",176.47,29.22,43.59,1.47,953,180,773,18.89,1.70,0.42,23.12,6.25,-4.68,-4.68,0.96,0.32,0.42
