Short EMA,Long EMA,Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Profit Factor,Total Trades,Winning Trades,Losing Trades,Win Rate (%),Exposure Time (%)
30,240,198.88560000000024,7.677575978032447,159.97451958806667,20.81267512015881,0.37734324311736417,0.18003661069278926,4.915445043532015,-40.46136173604539,-15.70497294068624,2.136532006349954,53,20,33,37.735849056603776,71.2677837496048
30,250,199.68500000000023,7.697008769095337,159.97451958806667,20.45139481518837,0.3858338023272178,0.19528994327270133,4.819308540907527,-41.43436725518251,-16.346020015946984,2.113884720726953,50,20,30,40.0,71.5333544103699
30,260,217.9844000000002,8.129127449747365,159.97451958806667,21.39123775492216,0.39029666166905835,0.21093702716435075,5.5720018509085,-39.1213796823234,-14.265591337339822,2.326389370601458,47,18,29,38.297872340425535,71.7926019601644
30,270,210.65960000000018,7.959016132012597,159.97451958806667,22.149698072639783,0.37979447006965933,0.2455157009959721,5.203285546901216,-40.485881103614844,-15.013795599506787,2.2526630885285917,48,20,28,41.66666666666667,72.10875750869428
30,280,224.40880000000018,8.275346512427895,159.97451958806667,22.808800309131087,0.38649680857106045,0.29103645595955285,6.299107569965885,-35.62549099335599,-12.456185875051762,2.3769962287491313,44,18,26,40.909090909090914,72.33006639266519
30,290,224.2344000000002,8.271412968364,159.97451958806667,24.68665639136587,0.3703767663410739,0.22951700522093543,6.287334977069071,-35.664458919052244,-12.547016099785088,2.290415102331139,47,18,29,38.297872340425535,72.39962061334177
30,300,206.38480000000024,7.858001636795198,159.97451958806667,26.383636855844404,0.34842880862346204,0.22414035824042877,5.27495673197836,-39.125401493595966,-15.793511591488564,2.154801845133249,49,18,31,36.734693877551024,72.63989883022447
35,40,210.89940000000053,7.964644192853498,159.97451958806667,13.969421711908034,0.4303676809247683,0.18146912405293833,7.462430878163373,-28.261487904314947,-11.952233362535472,1.633452134730756,122,55,67,45.08196721311475,65.28612077141955
35,50,186.97180000000046,7.382068401020847,159.97451958806667,14.646423837878563,0.39646115632572443,0.1553990130725462,6.66627227627537,-28.04742924548932,-11.97600648764403,1.573378703527087,109,48,61,44.03669724770643,65.6465380967436
35,60,223.0192000000004,8.243949573594023,159.97451958806667,14.742576888579755,0.4392481573487347,0.17285074053346225,7.258949954276499,-30.723341723634846,-13.944362659375567,1.7559588495500227,96,46,50,47.91666666666667,66.29149541574455
35,70,231.11780000000036,8.425188753776558,159.97451958806667,15.62978282680048,0.43105653649360187,0.1725888334908448,6.493538200793327,-35.591967407193245,-15.353826467438159,1.8475471432416712,89,40,49,44.9438202247191,66.46854252292128
35,80,250.9660000000002,8.852468433526294,159.97451958806667,17.08774206638499,0.4254853151839192,0.17213260576393818,7.626252771421869,-32.90816702803953,-14.682867429845755,1.916969076052246,80,34,46,42.5,66.80999051533354
35,90,232.0658000000003,8.446133190720651,159.97451958806667,16.154510321637517,0.4294761867575124,0.16065376450415242,7.230906921369896,-32.093595246560774,-16.054878654050654,1.9179229812013632,79,35,44,44.303797468354425,67.14511539677521
35,100,222.38960000000029,8.229682769841196,159.97451958806667,17.047106348542922,0.4075118144587719,0.1554914075762517,6.586533147381773,-33.764287679688195,-16.465988497440843,1.9696846023104349,73,34,39,46.57534246575342,67.27790072715776
35,110,223.89000000000033,8.263639322895887,159.97451958806667,19.389613849605862,0.37879479811449457,0.1475214788353943,6.3624544645378,-35.18924987956905,-17.679974804827665,1.9639387288184493,75,29,46,38.666666666666664,67.50553272209928
35,120,215.98860000000028,8.08314207515175,159.97451958806667,18.98108330088279,0.3798608851122932,0.13537901417777284,5.877904024575518,-36.74585347037854,-16.710451144664617,2.087323753639707,68,30,38,44.11764705882353,67.75213404995257
35,130,232.58880000000028,8.457664128468245,159.97451958806667,20.071596096662304,0.3863430692752375,0.13745078444381267,5.632622841136247,-41.29316067487328,-17.664330838912992,2.2200304445300043,69,28,41,40.57971014492754,68.39709136895353
35,140,217.33820000000028,8.11426784153797,159.97451958806667,22.310629022262138,0.35597443483263486,0.1441778791667754,5.7497720582603655,-37.79944627331149,-16.40902405679246,2.065816974553373,66,26,40,39.39393939393939,68.90926335757193
35,150,252.61220000000017,8.886887544983546,159.97451958806667,19.868363974243156,0.40999684947977255,0.15414739119880996,8.319612703510769,-30.36345668992513,-13.135286706860889,2.4369850483408926,61,27,34,44.26229508196721,69.18115712930762
35,160,255.1870000000001,8.940422738618814,159.97451958806667,19.833473067288075,0.41587880619208295,0.1803252552464305,8.480931021827516,-30.089503067908584,-13.34204462012166,2.438133442138105,60,26,34,43.333333333333336,69.59848245336705
35,170,249.58600000000013,8.823498902785754,159.97451958806667,19.93375501504488,0.4147890193287674,0.1897819511822356,9.528570290792109,-26.193436411041272,-13.97483113763338,2.470152348370255,55,24,31,43.63636363636363,70.0158077774265
35,180,220.6108000000002,8.189234131261557,159.97451958806667,18.408849300954135,0.4139150070928195,0.17875140277966026,8.749757488625855,-25.213361660226656,-12.912546534762468,2.2928146232092823,54,23,31,42.592592592592595,70.11065444198546
35,190,238.1352000000002,8.57891974072189,159.97451958806667,17.7860958451244,0.4415401179807223,0.19710881758661875,9.80586798155054,-24.284969005094172,-11.308017416914316,2.587627271418134,51,23,28,45.09803921568628,70.30667088207399
35,200,246.70980000000017,8.762776217082525,159.97451958806667,17.537303796932534,0.4551876827249234,0.22312298784748696,9.73555158110567,-25.341121963629025,-10.641909535738767,2.713917121122652,49,24,25,48.97959183673469,70.43313310148594
35,210,218.16040000000024,8.133169756044879,159.97451958806667,18.628566373208727,0.41440456048202484,0.1994749750003589,7.051544095274198,-30.937961537559826,-13.006997027268849,2.326048266706865,52,23,29,44.230769230769226,70.61650331963327
