timeframe,short_ema,long_ema,stop_loss,take_profit,sharpe_ratio,total_return_pct,win_rate,max_drawdown
1m,5,65,2,35,1.620045258382219,510.20000000000005,0.0820637822465976,9.467455621301776
1m,15,25,2,49,1.617627126347364,517.9,0.06419085095917364,10.942441492726122
1m,20,25,2,32,1.6118182964802208,522.8,0.08751632767307334,6.2645011600928076
1m,30,50,3,39,1.6072579968990506,383.40000000000003,0.10208193418401612,13.636363636363635
1m,5,65,2,43,1.6043385061747135,497.90000000000003,0.07027784263366799,8.970099667774086
1m,5,135,2,35,1.5956731466099288,436.8,0.08156606851549755,10.0
1m,20,25,2,34,1.5946701641533203,521.8,0.08331737215092894,5.810055865921788
1m,20,25,2,28,1.590758300819476,513.1999999999999,0.0962169632060805,5.3717232488182205
1m,25,30,2,33,1.5904335907968024,499.0,0.08509803921568627,5.973025048169557
1m,10,15,2,25,1.5870198474109372,603.9,0.10467980295566502,7.585247042449547
1m,5,65,2,28,1.5863753758966475,490.00000000000006,0.09612263300270514,9.930313588850174
1m,5,65,2,42,1.580757816962311,489.59999999999997,0.07103448275862069,9.197324414715718
1m,10,45,2,36,1.5800942266667493,503.0,0.07956857956857957,5.901287553648069
1m,5,65,2,33,1.5789680429407489,497.3,0.08486149044088959,10.146173688736027
1m,10,55,2,49,1.5713625864386067,485.40000000000003,0.06332320162107397,10.842207163601161
1m,25,30,2,30,1.57034193681383,489.40000000000003,0.09094290496559419,5.984251968503937
1m,30,50,3,38,1.569969158397341,374.0,0.10326624876278456,15.655172413793103
1m,5,170,2,35,1.5694471401629042,394.20000000000005,0.08103317295517852,9.803921568627452
1m,30,150,5,40,1.5666487984375959,296.5,0.14595452141723955,11.262798634812286
1m,40,45,4,30,1.5643456188045084,352.2,0.15313463514902365,11.725067385444744
1m,5,170,2,31,1.563920947995513,393.1,0.08860164512338425,6.951871657754011
1m,5,65,2,50,1.5619658800960925,488.6,0.062231216797369086,9.470304975922954
1m,5,170,2,33,1.5582149819196693,390.3,0.08443465491923642,7.207207207207207
1m,20,25,2,31,1.5517717101693813,500.5,0.088348271446863,6.358381502890173
1m,30,50,3,30,1.5516034175266065,379.8,0.12301255230125523,14.53218314532183
1m,20,25,2,30,1.544696316222771,497.79999999999995,0.09040358744394619,5.233644859813085
1m,20,25,2,23,1.5446860085549485,491.4,0.11050752754927828,5.080213903743315
1m,20,25,2,35,1.543079483816362,500.8,0.08050019538882376,6.578947368421052
1m,25,160,5,34,1.5407552702699687,288.7,0.16415735794074793,11.627906976744185
1m,5,165,2,34,1.540643284498938,400.4,0.08221476510067115,9.855072463768117
1m,35,40,3,49,1.5384116045987581,384.4,0.08467153284671533,16.285153695225638
1m,15,35,2,33,1.5375261247001522,485.79999999999995,0.08401084010840108,5.88235294117647
1m,25,160,5,41,1.5341000469898258,290.09999999999997,0.1424745581146224,17.824267782426777
1m,10,15,2,26,1.5332388410175526,578.5999999999999,0.10046367851622875,8.649468892261002
1m,30,50,2,49,1.5318771994841822,413.3,0.0625901355638881,10.12396694214876
1m,20,25,2,48,1.5309680031120456,496.2,0.06352216164968003,8.529741863075197
1m,20,70,3,49,1.5291013499555812,374.3,0.08448083364346855,9.174841315637623
1m,25,160,5,38,1.5261655980452595,286.6,0.15067079463364294,13.99662731871838
1m,30,50,2,43,1.525414907056492,404.2,0.06876015159718463,9.473684210526317
1m,10,75,2,38,1.5238764126554116,451.99999999999994,0.07533632286995516,8.294209702660407
