Start Date,End Date,Exposure Time,Final Account Balance,Equity Peak,Total Return,Annualized Return,Benchmark Return,Volatility (Annual),Total Trades,Winning Trades,Losing Trades,Win Rate,Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Average Drawdown,Max Drawdown Duration,Average Drawdown Duration,Simulation
2017-01-03,2024-12-26,31.94%,16147.96,"$16,296.84",222.96,15.83,128.19,7.52,792,352,440,44.44%,1.53,1.95,3.91,46.35,-4.81,-1.35,0.00 days,0.00 days,17
2017-01-03,2024-12-26,32.98%,16037.59,"$16,141.42",220.75,15.73,128.19,7.5,753,316,437,41.97%,1.52,1.94,4.19,49.45,-4.46,-1.3,0.00 days,0.00 days,18
2017-01-03,2024-12-26,29.84%,17247.7,"$17,305.94",244.95,16.79,128.19,7.18,798,315,483,39.47%,1.67,2.15,5.25,52.69,-4.65,-1.13,0.00 days,0.00 days,19
2017-01-03,2024-12-26,30.37%,17071.71,"$17,084.40",241.43,16.64,128.19,7.28,784,300,484,38.27%,1.65,2.1,5.21,39.3,-6.14,-1.19,0.00 days,0.00 days,20
2017-01-03,2024-12-26,29.84%,17156.77,"$17,218.43",243.14,16.71,128.19,7.2,798,315,483,39.47%,1.66,2.13,5.22,52.05,-4.67,-1.14,0.00 days,0.00 days,21
2017-01-03,2024-12-26,33.12%,16969.56,"$17,030.42",239.39,16.55,128.19,7.5,736,306,430,41.58%,1.58,2.03,4.48,54.74,-4.37,-1.21,0.00 days,0.00 days,22
2017-01-03,2024-12-26,30.37%,17176.69,"$17,188.84",243.53,16.73,128.19,7.26,784,300,484,38.27%,1.66,2.12,5.25,39.86,-6.11,-1.17,0.00 days,0.00 days,23
2017-01-03,2024-12-26,31.54%,16296.76,"$16,498.80",225.94,15.96,128.19,7.67,814,374,440,45.95%,1.53,1.92,3.78,45.54,-4.96,-1.42,0.00 days,0.00 days,24
2017-01-03,2024-12-26,28.78%,17665.36,"$17,806.15",253.31,17.14,128.19,7.18,845,358,487,42.37%,1.68,2.19,5.1,44.74,-5.66,-1.28,0.00 days,0.00 days,25
2017-01-03,2024-12-26,31.22%,17112.83,"$17,284.41",242.26,16.67,128.19,7.22,782,327,455,41.82%,1.62,2.12,4.62,58.38,-4.15,-1.14,0.00 days,0.00 days,26
2017-01-03,2024-12-26,33.12%,17104.79,"$17,160.69",242.1,16.67,128.19,7.48,736,306,430,41.58%,1.59,2.05,4.52,55.8,-4.34,-1.19,0.00 days,0.00 days,27
2017-01-03,2024-12-26,33.12%,16973.32,"$17,034.04",239.47,16.56,128.19,7.5,736,306,430,41.58%,1.58,2.03,4.48,54.77,-4.37,-1.21,0.00 days,0.00 days,28
2017-01-03,2024-12-26,28.78%,17526.53,"$17,668.47",250.53,17.02,128.19,7.2,845,358,487,42.37%,1.67,2.17,5.04,43.96,-5.7,-1.3,0.00 days,0.00 days,29
2017-01-03,2024-12-26,30.79%,17528.84,"$17,537.08",250.58,17.03,128.19,7.25,763,288,475,37.75%,1.69,2.15,5.33,47.11,-5.32,-1.14,0.00 days,0.00 days,30
2017-01-03,2024-12-26,31.94%,16378.2,"$16,525.33",227.56,16.03,128.19,7.47,792,352,440,44.44%,1.54,1.98,3.98,47.9,-4.75,-1.31,0.00 days,0.00 days,31
2017-01-03,2024-12-26,28.78%,17634.94,"$17,775.98",252.7,17.12,128.19,7.18,845,358,487,42.37%,1.68,2.18,5.08,44.57,-5.67,-1.28,0.00 days,0.00 days,32
