Rolling Window,Stop Loss Points,Take Profit Points,Exposure Time (%),Final Account Balance ($),Equity Peak ($),Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Max Drawdown Duration (days),Average Drawdown Duration (days),Sharpe Ratio Float
18,4,15,2.34,"12,943.52","13,427.80",158.87,27.09,43.46,1.34,1102,330,772,29.95,1.48,0.42,11.76,5.76,-4.71,-4.71,0.96,0.31,0.42
18,4,14,2.39,"12,848.72","13,388.00",156.97,26.86,43.46,1.30,1122,352,770,31.37,1.48,0.42,11.27,5.31,-5.06,-5.06,0.96,0.31,0.42
18,4,13,2.43,"12,576.40","13,043.16",151.53,26.18,43.46,1.28,1140,374,766,32.81,1.47,0.42,10.58,5.75,-4.56,-4.56,0.96,0.31,0.42
19,3,9,2.67,"10,882.56","10,894.24",117.65,21.66,43.44,1.02,1256,438,818,34.87,1.44,0.42,9.61,5.09,-4.26,-4.26,0.96,0.29,0.42
16,4,19,2.23,"14,041.72","14,633.40",180.83,29.73,43.48,1.46,1047,272,775,25.98,1.55,0.42,14.72,5.58,-5.32,-5.32,0.96,0.31,0.42
18,4,16,2.30,"12,960.80","13,447.60",159.22,27.14,43.46,1.35,1080,309,771,28.61,1.49,0.42,12.19,5.60,-4.84,-4.84,0.96,0.31,0.42
14,7,17,2.14,"14,622.56","15,033.20",192.45,31.04,43.91,1.62,1006,384,622,38.17,1.43,0.42,8.62,5.30,-5.86,-5.86,0.96,0.32,0.42
15,6,17,2.19,"14,630.28","14,904.64",192.61,31.08,43.82,1.58,1028,363,665,35.31,1.46,0.42,9.96,5.04,-6.17,-6.17,0.96,0.31,0.42
19,5,17,2.18,"13,686.48","14,147.84",173.73,28.90,43.44,1.47,1023,323,700,31.57,1.47,0.42,11.05,5.51,-5.25,-5.25,0.96,0.32,0.42
14,4,13,2.53,"12,938.12","13,277.36",158.76,27.06,43.91,1.32,1187,390,797,32.86,1.47,0.42,10.64,6.02,-4.50,-4.50,0.96,0.29,0.42
20,3,9,2.65,"10,864.96","10,876.64",117.30,21.61,43.21,1.02,1246,435,811,34.91,1.45,0.42,9.65,5.40,-4.00,-4.00,0.96,0.29,0.42
16,3,9,2.74,"10,870.40","10,914.56",117.41,21.62,43.48,1.04,1290,447,843,34.65,1.43,0.42,9.35,5.02,-4.31,-4.31,0.96,0.28,0.42
18,3,9,2.69,"10,796.40","10,824.32",115.93,21.41,43.46,1.03,1265,439,826,34.70,1.43,0.42,9.41,5.03,-4.26,-4.26,0.96,0.29,0.42
14,4,14,2.48,"13,152.92","13,575.92",163.06,27.59,43.91,1.34,1167,366,801,31.36,1.48,0.42,11.25,5.59,-4.94,-4.94,0.96,0.30,0.42
15,8,18,1.99,"15,361.84","15,604.68",207.24,32.70,43.82,1.72,934,376,558,40.26,1.45,0.42,8.71,5.08,-6.44,-6.44,0.96,0.33,0.42
14,4,15,2.44,"13,433.96","13,791.96",168.68,28.27,43.91,1.38,1146,345,801,30.10,1.50,0.42,11.99,6.36,-4.45,-4.45,0.96,0.30,0.42
15,7,18,2.05,"14,778.40","15,273.72",195.57,31.41,43.82,1.64,965,358,607,37.10,1.44,0.42,9.19,5.17,-6.08,-6.08,0.96,0.33,0.42
17,5,17,2.21,"14,062.88","14,371.84",181.26,29.78,43.38,1.48,1038,330,708,31.79,1.49,0.42,11.34,6.04,-4.93,-4.93,0.96,0.32,0.42
13,4,19,2.32,"14,048.40","14,452.56",180.97,29.72,43.91,1.49,1090,280,810,25.69,1.53,0.42,14.20,5.87,-5.06,-5.06,0.96,0.30,0.42
13,4,13,2.56,"12,959.52","13,341.24",159.19,27.11,43.91,1.31,1202,394,808,32.78,1.46,0.42,10.54,5.22,-5.19,-5.19,0.96,0.29,0.42
13,4,15,2.47,"13,284.12","13,705.84",165.68,27.91,43.91,1.37,1162,347,815,29.86,1.48,0.42,11.64,5.46,-5.11,-5.11,0.96,0.29,0.42
14,4,19,2.29,"14,252.00","14,613.68",185.04,30.19,43.91,1.49,1075,279,796,25.95,1.55,0.42,14.67,5.98,-5.05,-5.05,0.96,0.31,0.42
15,5,18,2.21,"14,014.12","14,416.84",180.28,29.67,43.82,1.49,1037,315,722,30.38,1.48,0.42,11.43,6.30,-4.71,-4.71,0.96,0.31,0.42
13,5,17,2.32,"13,908.40","14,341.44",178.17,29.40,43.91,1.50,1090,341,749,31.28,1.45,0.41,10.66,6.42,-4.58,-4.58,0.96,0.30,0.41
11,3,10,2.94,"11,497.56","11,497.56",129.95,23.34,43.94,1.13,1381,445,936,32.22,1.43,0.41,9.84,5.64,-4.14,-4.14,0.96,0.27,0.41
11,3,9,2.99,"10,890.32","10,960.64",117.81,21.66,43.94,1.06,1407,479,928,34.04,1.39,0.41,8.64,6.47,-3.35,-3.35,0.96,0.26,0.41
13,4,12,2.60,"12,522.24","12,680.20",150.44,26.02,43.91,1.29,1224,419,805,34.23,1.44,0.41,9.68,5.42,-4.80,-4.80,0.96,0.28,0.41
16,6,18,2.11,"14,361.16","14,664.16",187.22,30.47,43.48,1.58,991,336,655,33.91,1.46,0.41,10.14,5.12,-5.95,-5.95,0.96,0.32,0.41
16,6,17,2.17,"14,367.68","14,642.04",187.35,30.48,43.48,1.56,1018,358,660,35.17,1.45,0.41,9.79,5.09,-5.98,-5.98,0.96,0.32,0.41
18,5,17,2.19,"13,639.04","13,948.00",172.78,28.78,43.46,1.48,1029,324,705,31.49,1.47,0.41,10.94,5.87,-4.91,-4.91,0.96,0.32,0.41
10,4,18,2.58,"13,534.64","14,058.72",170.69,28.51,43.91,1.48,1214,312,902,25.70,1.45,0.41,12.02,4.53,-6.29,-6.29,0.96,0.28,0.41
20,4,18,2.21,"12,894.12","13,755.80",157.88,26.97,43.21,1.39,1037,272,765,26.23,1.49,0.41,12.93,3.57,-7.55,-7.55,0.96,0.31,0.41
20,4,19,2.17,"13,277.68","14,078.12",165.55,27.91,43.21,1.45,1018,260,758,25.54,1.51,0.41,13.94,3.98,-7.02,-7.02,0.96,0.32,0.41
17,3,9,2.72,"10,677.76","10,705.68",113.56,21.08,43.38,1.04,1276,440,836,34.48,1.42,0.41,9.15,4.91,-4.29,-4.29,0.96,0.28,0.41
10,5,17,2.53,"13,976.88","14,321.12",179.54,29.56,43.91,1.54,1188,365,823,30.72,1.42,0.41,9.91,5.06,-5.84,-5.84,0.96,0.28,0.41
17,7,17,2.06,"14,403.44","14,705.36",188.07,30.56,43.38,1.61,969,371,598,38.29,1.43,0.41,8.75,6.28,-4.87,-4.87,0.96,0.33,0.41
16,5,18,2.19,"13,931.52","14,334.24",178.63,29.47,43.48,1.51,1027,312,715,30.38,1.48,0.41,11.44,6.39,-4.61,-4.61,0.96,0.32,0.41
16,7,19,1.98,"14,846.80","15,320.88",196.94,31.57,43.48,1.71,930,335,595,36.02,1.46,0.41,9.66,5.15,-6.13,-6.13,0.96,0.33,0.41
17,4,12,2.50,"12,283.00","12,516.00",145.66,25.43,43.38,1.26,1175,403,772,34.30,1.44,0.41,9.76,5.73,-4.44,-4.44,0.96,0.30,0.41
16,7,16,2.11,"13,978.68","14,385.56",179.57,29.58,43.48,1.56,993,391,602,39.38,1.41,0.41,8.11,5.51,-5.37,-5.37,0.96,0.32,0.41
14,3,9,2.80,"10,808.16","10,824.80",116.16,21.43,43.91,1.06,1316,453,863,34.42,1.41,0.41,9.08,4.61,-4.65,-4.65,0.96,0.27,0.41
14,8,17,2.07,"14,916.00","15,099.16",198.32,31.70,43.91,1.70,975,401,574,41.13,1.42,0.41,7.96,5.37,-5.90,-5.90,0.96,0.32,0.41
20,4,12,2.44,"12,115.24","12,327.00",142.30,24.99,43.21,1.25,1149,394,755,34.29,1.44,0.41,9.75,6.23,-4.01,-4.01,0.96,0.30,0.41
11,5,17,2.45,"13,711.52","14,165.76",174.23,28.93,43.94,1.52,1152,354,798,30.73,1.42,0.41,9.92,5.77,-5.01,-5.01,0.96,0.29,0.41
15,3,9,2.77,"10,735.52","10,779.68",114.71,21.24,43.82,1.05,1302,448,854,34.41,1.41,0.41,9.06,4.90,-4.33,-4.33,0.96,0.28,0.41
14,5,17,2.29,"13,972.00","14,352.56",179.44,29.54,43.91,1.51,1075,338,737,31.44,1.46,0.41,10.88,6.45,-4.58,-4.58,0.96,0.31,0.41
18,8,17,1.97,"14,520.52","14,648.36",190.41,30.83,43.46,1.67,927,382,545,41.21,1.42,0.41,8.03,5.28,-5.84,-5.84,0.96,0.33,0.41
15,7,16,2.14,"14,040.04","14,446.92",180.80,29.73,43.82,1.57,1004,395,609,39.34,1.41,0.41,8.07,5.46,-5.44,-5.44,0.96,0.32,0.41
20,8,17,1.95,"14,390.40","14,684.48",187.81,30.53,43.21,1.64,915,377,538,41.20,1.42,0.41,8.03,5.29,-5.77,-5.77,0.96,0.34,0.41
17,4,19,2.21,"13,615.40","14,300.84",172.31,28.73,43.38,1.47,1040,267,773,25.67,1.52,0.41,14.17,4.71,-6.10,-6.10,0.96,0.31,0.41
12,3,9,2.91,"10,847.44","10,961.52",116.95,21.54,43.98,1.06,1369,468,901,34.19,1.40,0.41,8.80,6.74,-3.20,-3.20,0.96,0.26,0.41
15,4,20,2.22,"14,025.44","14,545.88",180.51,29.69,43.82,1.54,1044,260,784,24.90,1.54,0.41,14.94,5.65,-5.26,-5.26,0.96,0.31,0.41
11,4,16,2.57,"13,199.60","13,720.04",163.99,27.70,43.94,1.42,1210,339,871,28.02,1.44,0.41,11.28,5.61,-4.94,-4.94,0.96,0.28,0.41
18,7,17,2.04,"14,322.08","14,624.00",186.44,30.38,43.46,1.59,958,367,591,38.31,1.44,0.41,8.77,6.21,-4.90,-4.90,0.96,0.33,0.41
18,4,18,2.23,"13,168.00","13,919.68",163.36,27.65,43.46,1.40,1050,277,773,26.38,1.50,0.41,13.19,4.14,-6.68,-6.68,0.96,0.31,0.41
