Time,Price,Size,Exchange
2025-01-21 23:37:50.000000,6092.5,1.0,
2025-01-21 23:37:57.000000,6092.5,2.0,
2025-01-21 23:37:58.000000,6092.5,1.0,
2025-01-21 23:38:04.000000,6092.5,2.0,
2025-01-21 23:38:04.000000,6092.5,1.0,
2025-01-21 23:38:04.000000,6092.5,6.0,
2025-01-21 23:38:05.000000,6092.25,1.0,
2025-01-21 23:38:05.000000,6092.25,2.0,
2025-01-21 23:38:05.000000,6092.0,2.0,
2025-01-21 23:38:05.000000,6092.0,1.0,
2025-01-21 23:38:06.000000,6092.25,1.0,
2025-01-21 23:38:06.000000,6092.25,2.0,
2025-01-21 23:38:06.000000,6092.25,1.0,
2025-01-21 23:38:08.000000,6092.25,2.0,
2025-01-21 23:38:10.000000,6092.25,1.0,
2025-01-21 23:38:10.000000,6092.25,2.0,
2025-01-21 23:38:10.000000,6092.25,1.0,
2025-01-21 23:38:10.000000,6092.25,1.0,
2025-01-21 23:38:10.000000,6092.25,2.0,
2025-01-21 23:38:12.000000,6092.25,1.0,
2025-01-21 23:38:20.000000,6092.25,1.0,
2025-01-21 23:38:30.000000,6092.0,4.0,
2025-01-21 23:38:31.000000,6091.75,2.0,
2025-01-21 23:38:31.000000,6091.75,2.0,
2025-01-21 23:38:31.000000,6091.75,2.0,
2025-01-21 23:38:31.000000,6091.75,1.0,
2025-01-21 23:38:33.000000,6091.5,2.0,
2025-01-21 23:38:35.000000,6091.5,2.0,
2025-01-21 23:38:35.000000,6091.5,1.0,
2025-01-21 23:38:35.000000,6091.75,1.0,
2025-01-21 23:38:37.000000,6091.75,2.0,
2025-01-21 23:38:37.000000,6091.75,3.0,
2025-01-21 23:38:37.000000,6091.75,1.0,
2025-01-21 23:38:37.000000,6091.75,1.0,
2025-01-21 23:38:37.000000,6091.75,1.0,
2025-01-21 23:38:37.000000,6091.75,1.0,
2025-01-21 23:38:37.000000,6091.75,1.0,
2025-01-21 23:38:37.000000,6091.75,1.0,
2025-01-21 23:38:37.000000,6091.75,1.0,
2025-01-21 23:38:44.000000,6091.75,1.0,
2025-01-21 23:38:45.000000,6091.75,1.0,
2025-01-21 23:38:49.000000,6091.75,1.0,
2025-01-21 23:38:51.000000,6092.0,2.0,
2025-01-21 23:38:51.000000,6092.0,1.0,
2025-01-21 23:38:51.000000,6092.0,1.0,
2025-01-21 23:38:51.000000,6092.0,1.0,
2025-01-21 23:38:52.000000,6092.0,1.0,
2025-01-21 23:38:52.000000,6092.0,1.0,
2025-01-21 23:38:53.000000,6092.0,1.0,
2025-01-21 23:38:53.000000,6092.0,2.0,
2025-01-21 23:39:10.000000,6092.0,1.0,
2025-01-21 23:39:13.000000,6092.0,1.0,
2025-01-21 23:39:14.000000,6092.0,1.0,
2025-01-21 23:39:26.000000,6092.25,3.0,
2025-01-21 23:39:29.000000,6092.25,8.0,
2025-01-21 23:39:30.000000,6092.25,1.0,
2025-01-21 23:39:36.000000,6092.25,6.0,
2025-01-21 23:39:36.000000,6092.25,1.0,
2025-01-21 23:39:38.000000,6092.25,1.0,
2025-01-21 23:39:49.000000,6092.25,7.0,
2025-01-21 23:39:50.000000,6092.25,2.0,
2025-01-21 23:39:50.000000,6092.25,1.0,
2025-01-21 23:39:50.000000,6092.25,7.0,
2025-01-21 23:39:50.000000,6092.25,1.0,
2025-01-21 23:39:54.000000,6092.25,2.0,
2025-01-21 23:39:54.000000,6092.25,1.0,
2025-01-21 23:39:54.000000,6092.25,1.0,
2025-01-21 23:40:02.000000,6092.25,1.0,
2025-01-21 23:40:02.000000,6092.25,1.0,
2025-01-21 23:40:02.000000,6092.25,1.0,
2025-01-21 23:40:02.000000,6092.25,2.0,
2025-01-21 23:40:07.000000,6092.25,2.0,
2025-01-21 23:40:07.000000,6092.25,2.0,
2025-01-21 23:40:07.000000,6092.25,1.0,
2025-01-21 23:40:13.000000,6092.25,2.0,
2025-01-21 23:40:13.000000,6092.25,1.0,
2025-01-21 23:40:13.000000,6092.25,2.0,
2025-01-21 23:40:13.000000,6092.25,3.0,
2025-01-21 23:40:15.000000,6092.25,1.0,
2025-01-21 23:40:15.000000,6092.25,1.0,
2025-01-21 23:40:15.000000,6092.25,1.0,
2025-01-21 23:40:15.000000,6092.25,1.0,
2025-01-21 23:40:15.000000,6092.25,1.0,
2025-01-21 23:40:15.000000,6092.25,1.0,
2025-01-21 23:40:15.000000,6092.25,1.0,
2025-01-21 23:40:16.000000,6092.5,1.0,
2025-01-21 23:40:20.000000,6092.5,1.0,
2025-01-21 23:40:31.000000,6092.5,1.0,
2025-01-21 23:40:31.000000,6092.5,8.0,
2025-01-21 23:40:31.000000,6092.75,1.0,
2025-01-21 23:40:36.000000,6092.5,1.0,
2025-01-21 23:40:39.000000,6092.75,1.0,
2025-01-21 23:40:40.000000,6092.75,2.0,
2025-01-21 23:40:45.000000,6092.75,1.0,
2025-01-21 23:40:52.000000,6092.75,1.0,
2025-01-21 23:40:52.000000,6092.75,1.0,
2025-01-21 23:41:00.000000,6093.0,2.0,
2025-01-21 23:41:00.000000,6093.0,1.0,
2025-01-21 23:41:00.000000,6093.0,1.0,
2025-01-21 23:41:00.000000,6093.0,3.0,
2025-01-21 23:41:02.000000,6093.25,1.0,
2025-01-21 23:41:02.000000,6093.25,1.0,
2025-01-21 23:41:02.000000,6093.25,1.0,
2025-01-21 23:41:02.000000,6093.25,1.0,
2025-01-21 23:41:02.000000,6093.25,1.0,
2025-01-21 23:41:02.000000,6093.25,1.0,
2025-01-21 23:41:04.000000,6093.25,2.0,
2025-01-21 23:41:21.000000,6093.5,1.0,
2025-01-21 23:41:21.000000,6093.5,1.0,
2025-01-21 23:41:30.000000,6093.5,3.0,
2025-01-21 23:41:30.000000,6093.25,1.0,
2025-01-21 23:41:33.000000,6093.25,1.0,
2025-01-21 23:41:39.000000,6093.25,9.0,
2025-01-21 23:41:39.000000,6093.0,1.0,
2025-01-21 23:41:39.000000,6093.25,1.0,
2025-01-21 23:41:39.000000,6093.25,2.0,
2025-01-21 23:41:39.000000,6093.25,1.0,
2025-01-21 23:41:39.000000,6093.25,1.0,
2025-01-21 23:41:39.000000,6093.25,2.0,
2025-01-21 23:41:39.000000,6093.25,1.0,
2025-01-21 23:41:39.000000,6093.25,1.0,
2025-01-21 23:41:39.000000,6093.25,1.0,
2025-01-21 23:41:46.000000,6093.25,4.0,
2025-01-21 23:41:46.000000,6093.25,2.0,
2025-01-21 23:41:49.000000,6093.25,1.0,
2025-01-21 23:41:51.000000,6093.25,1.0,
2025-01-21 23:41:51.000000,6093.25,1.0,
2025-01-21 23:41:56.000000,6093.5,1.0,
2025-01-21 23:42:00.000000,6093.5,1.0,
2025-01-21 23:42:12.000000,6093.5,2.0,
2025-01-21 23:42:14.000000,6093.25,1.0,
2025-01-21 23:42:14.000000,6093.25,3.0,
2025-01-21 23:42:14.000000,6093.25,3.0,
2025-01-21 23:42:14.000000,6093.25,2.0,
2025-01-21 23:42:14.000000,6093.25,1.0,
2025-01-21 23:42:14.000000,6093.25,1.0,
